location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,3.1282952,101.68548,55,0,GMT,GMT
1,5.448155,100.43911,6,0,GMT,GMT
2,1.5114235,103.752975,46,0,GMT,GMT
3,6.010545,116.121765,7,0,GMT,GMT
4,1.5817223,110.324875,3,0,GMT,GMT
5,4.6045694,101.074646,54,0,GMT,GMT
6,3.0579963,101.53102,20,0,GMT,GMT
7,2.2144113,102.282524,4,0,GMT,GMT
8,6.1511426,100.37594,6,0,GMT,GMT
9,4.3936734,114.00983,4,0,GMT,GMT
10,3.1282952,101.6129,49,0,GMT,GMT
11,2.7065024,101.91814,58,0,GMT,GMT
12,5.307557,103.10174,12,0,GMT,GMT
13,6.1511426,102.25563,9,0,GMT,GMT
14,5.659051,100.46512,15,0,GMT,GMT
15,5.8699474,118.101585,7,0,GMT,GMT
16,4.815466,100.6579,23,0,GMT,GMT
17,2.28471,111.853035,4,0,GMT,GMT
18,6.4323373,100.1844,4,0,GMT,GMT
19,2.917399,101.72969,44,0,GMT,GMT
